"","count","bps_value","scl_value","bps_name","model_code","ref_label","model_label","ref_percent","current_percent","total_count"
"47",82406,1896,6,"Appalachian (Hemlock-)Northern Hardwood Forest","13700_60_63_64_65_66","UN","13700_60_63_64_65_66_UN",0,3,2577597
"48",239048,1896,7,"Appalachian (Hemlock-)Northern Hardwood Forest","13700_60_63_64_65_66","UE","13700_60_63_64_65_66_UE",0,9,2577597
"49",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","A","13770_60_61_63_64_65_66_A",3,0,0
"50",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","B","13770_60_61_63_64_65_66_B",7,0,0
"51",48,1898,3,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","C","13770_60_61_63_64_65_66_C",74,87,55
"52",2,1898,4,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","D","13770_60_61_63_64_65_66_D",16,3,55
"53",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Agriculture","13770_60_61_63_64_65_66_Agriculture",0,0,0
"54",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Developed","13770_60_61_63_64_65_66_Developed",0,0,0
"55",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","Water","13770_60_61_63_64_65_66_Water",0,0,0
"56",5,1898,6,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","UN","13770_60_61_63_64_65_66_UN",0,9,55
"57",NA,NA,NA,"Central Appalachian Pine-Oak Rocky Woodland","13770_60_61_63_64_65_66","UE","13770_60_61_63_64_65_66_UE",0,0,0
"58",12229,1901,1,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","A","14720_61_62_63_A",16,5,205586
"59",91314,1901,2,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","B","14720_61_62_63_B",22,44,205586
"60",71018,1901,3,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","C","14720_61_62_63_C",13,34,205586
"61",NA,NA,NA,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","D","14720_61_62_63_D",39,0,0
"62",NA,NA,NA,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","E","14720_61_62_63_E",10,0,0
"63",1833,1901,180,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","Agriculture","14720_61_62_63_Agriculture",0,0,205586
"64",10003,1901,120,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","Developed","14720_61_62_63_Developed",0,4,205586
"65",NA,NA,NA,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","Water","14720_61_62_63_Water",0,0,0
"66",NA,NA,NA,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","UN","14720_61_62_63_UN",0,0,0
"67",18672,1901,7,"Central Interior and Appalachian Riparian Systems","14720_61_62_63","UE","14720_61_62_63_UE",0,9,205586
"68",1,1902,1,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","A","14750_41_50_51_63_64_65_66_A",16,0,84791
"69",5590,1902,2,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","B","14750_41_50_51_63_64_65_66_B",23,6,84791
"70",37787,1902,3,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","C","14750_41_50_51_63_64_65_66_C",44,44,84791
"71",NA,NA,NA,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","D","14750_41_50_51_63_64_65_66_D",17,0,0
"72",2763,1902,180,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Agriculture","14750_41_50_51_63_64_65_66_Agriculture",0,3,84791
"73",8808,1902,120,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Developed","14750_41_50_51_63_64_65_66_Developed",0,10,84791
"74",NA,NA,NA,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","Water","14750_41_50_51_63_64_65_66_Water",0,0,0
"75",19303,1902,6,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","UN","14750_41_50_51_63_64_65_66_UN",0,22,84791
"76",10320,1902,7,"Laurentian-Acadian Floodplain Systems","14750_41_50_51_63_64_65_66","UE","14750_41_50_51_63_64_65_66_UE",0,12,84791
"77",NA,NA,NA,"Boreal Acidic Peatland Systems","14770_63_64_65_66","A","14770_63_64_65_66_A",13,0,0
"78",2,1903,2,"Boreal Acidic Peatland Systems","14770_63_64_65_66","B","14770_63_64_65_66_B",16,0,473
"79",11,1903,3,"Boreal Acidic Peatland Systems","14770_63_64_65_66","C","14770_63_64_65_66_C",39,2,473
"80",141,1903,4,"Boreal Acidic Peatland Systems","14770_63_64_65_66","D","14770_63_64_65_66_D",25,29,473
"81",NA,NA,NA,"Boreal Acidic Peatland Systems","14770_63_64_65_66","E","14770_63_64_65_66_E",7,0,0
"82",NA,NA,NA,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Agriculture","14770_63_64_65_66_Agriculture",0,0,0
"83",7,1903,120,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Developed","14770_63_64_65_66_Developed",0,1,473
"84",NA,NA,NA,"Boreal Acidic Peatland Systems","14770_63_64_65_66","Water","14770_63_64_65_66_Water",0,0,0
"85",246,1903,6,"Boreal Acidic Peatland Systems","14770_63_64_65_66","UN","14770_63_64_65_66_UN",0,52,473
"86",65,1903,7,"Boreal Acidic Peatland Systems","14770_63_64_65_66","UE","14770_63_64_65_66_UE",0,13,473
"87",3,1904,1,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","A","14790_60_61_63_64_65_66_A",24,0,19117
"88",1600,1904,2,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","B","14790_60_61_63_64_65_66_B",36,8,19117
"89",11212,1904,3,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","C","14790_60_61_63_64_65_66_C",40,58,19117
"90",928,1904,180,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Agriculture","14790_60_61_63_64_65_66_Agriculture",0,4,19117
"91",1563,1904,120,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Developed","14790_60_61_63_64_65_66_Developed",0,8,19117
"92",NA,NA,NA,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","Water","14790_60_61_63_64_65_66_Water",0,0,0
"93",880,1904,6,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","UN","14790_60_61_63_64_65_66_UN",0,4,19117
"94",2859,1904,7,"Central Interior and Appalachian Swamp Systems","14790_60_61_63_64_65_66","UE","14790_60_61_63_64_65_66_UE",0,14,19117
